ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
az group,buena empresa recomendable iniciar practicas empezar campo laboral,una buena empresa recomendable para iniciar practicas y empezar en el campo laboral ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.655, NEU: 0.337, NEG: 0.008})"
negra taller de diseno,bien aprendi,muy bien aprendi mucho ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.527, NEU: 0.389, NEG: 0.085})"
farmater,deja poner horas voy realizar dia ro diciembre poniendo hice horas aparecia introducir numero valido empresa farmater cumplio expectativas aprendiendo muchisimo area almacen,"no me deja poner las  horas que voy a realizar hasta el dia ro de diciembre por lo tanto estoy poniendo que hice  horas me aparecia introducir numero valido 

la empresa farmater cumplio con mis expectativas y estoy aprendiendo muchisimo en el area de almacen ",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.803, POS: 0.175, NEG: 0.022})"
inaoe,reuniones tarde miercoles viernes pm pm duraban tiempo dr molina mantiene ritmo trabajo acelerado grado pedir resultados manera casi inmediata cuales siempre alcanza tiempo obtenerlos adecuadamente dado tambien responsabilidades escolares ademas siento carga trabajo alta momentos senti comparado respecto trabajo realizo chico estancia verano debido rapidez llegaba hacer simulaciones cabe aclarar tenia poca experiencia dentro area tambien siento dr molina siempre direccion fija orientar proyectos veces trabajo solicitado mas idea situacional tarea dirija hacia objetivo sinceramente recomendaria alguien hiciera practicas,"las reuniones eran muy tarde miercoles y viernes de  a  pm o de  a  pm y duraban mucho tiempo
el dr molina mantiene un ritmo de trabajo  muy acelerado al grado de pedir resultados de manera casi inmediata y para los cuales no siempre alcanza el tiempo de obtenerlos adecuadamente dado que tambien tengo responsabilidades escolares ademas siento que la carga de trabajo es muy alta
en algunos momentos me senti comparado con respecto al trabajo que realizo un chico durante su estancia de verano debido a la rapidez con la que llegaba a hacer simulaciones cabe aclarar que yo tenia poca experiencia dentro de esta area
tambien siento que el dr molina no siempre tiene una direccion fija a la cual orientar los proyectos por lo que a veces se siente que el trabajo solicitado es mas una idea situacional que una tarea que nos dirija hacia un objetivo
sinceramente yo no le recomendaria a alguien que hiciera practicas con el

",negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.826, POS: 0.130, NEG: 0.044})"
ozono polaris,haber sido practicas modalidad linea bastante buenas,para haber sido practicas con modalidad en linea fueron bastante buenas,neutral,"AnalyzerOutput(output=POS, probas={POS: 0.925, NEU: 0.069, NEG: 0.006})"
marak banquetes,marak banquetes dio oportunidad acreditar practicas profesionales ii interesado hacer,marak banquetes me dio la oportunidad de acreditar con ellos practicas profesionales ii lo cual estoy muy interesado en hacer,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.054, NEG: 0.041})"
hprcb,excelente experiencia agradecida oportunidad,fue una excelente experiencia muy agradecida por la oportunidad,positive,"AnalyzerOutput(output=POS, probas={POS: 0.965, NEU: 0.032, NEG: 0.004})"
diseno de aeronaves bajo requerimientos sae aerodesign,perfecto,todo perfecto,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.523, POS: 0.249, NEG: 0.227})"
productos marinos abc,buena experiencia practicas profesionales empres supervisores,tuve una muy buena experiencia durante mis practicas profesionales con la empres y con mis supervisores,positive,"AnalyzerOutput(output=POS, probas={POS: 0.872, NEU: 0.123, NEG: 0.006})"
competencia de estudio de caso de la aiche,comunicacion apoyo dra buena proyecto,la comunicacion y apoyo de la dra fue muy buena durante el proyecto ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.830, NEU: 0.161, NEG: 0.010})"
museos puebla  complejo museistico la constancia,debido situacion mundial actual trabajo desarrollado resulto similar tareas realizo clases sensacion adquiri ningun conocimiento profesional relevante periodo tiempo dificil personal pues familiar encuentra grave hospital haciendome cargo debido dedique tiempo atencion suficiente asignacion,debido a la situacion mundial actual el trabajo desarrollado resulto muy similar a las tareas que realizo ya en las clases mi sensacion es que no adquiri ningun conocimiento profesional relevante fue un periodo de tiempo muy dificil en lo personal pues un familiar se encuentra grave en el hospital y estuve haciendome cargo debido a esto no dedique el tiempo ni la atencion suficiente a la asignacion ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.556, NEG: 0.428, POS: 0.016})"
accurate media,nan,nan,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.475, NEG: 0.352, POS: 0.173})"
mexico chemical tech sa de cv,excelente organizacion,excelente organizacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.929, NEU: 0.065, NEG: 0.006})"
analisis y mejora de operaciones en un caso de estudio,gusto proyecto interno gustado mas tener oportunidad haber hecho practicas forma fisica alguna empresa buen respecto proyecto,me gusto el proyecto interno pero me hubiera gustado mas tener la oportunidad de haber hecho mis practicas de forma fisica en alguna empresa pero todo buen respecto al proyecto ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.635, NEU: 0.353, NEG: 0.012})"
ozono polaris,general organizacion buena cuanto comunicacion supervision trabajo bien organizado home office director revisa continuamente avances unico proyecto agrado desempenaba ningun conocimiento carrera simplemente buscaba datos,en general la organizacion es muy buena en cuanto a la comunicacion y supervision del trabajo tienen muy bien organizado el home office y  el director revisa continuamente los avances lo unico es que el proyecto no fue de mi agrado ya que no desempenaba ningun conocimiento de la carrera simplemente buscaba datos ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.628, POS: 0.335, NEG: 0.036})"
azgroup mexico,accesibles serviciales,muy accesibles y serviciales,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.506, POS: 0.462, NEG: 0.032})"
colegio de educacion profesional tecnica del estado de veracruz,ninguna,ninguna,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.327, POS: 0.175})"
competencia de estudio de caso de la aiche,considero trabajar manera remota puede explotar proyecto,considero que al trabajar de manera remota no se puede explotar del todo un proyecto como este,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.589, POS: 0.386, NEG: 0.024})"
aamc internacional,honestamente esperaba mas practicas embargo debe organizacion contaban practicas presenciales debido pandemia ajustar practicas via online modos encuentro conforme satisfecho resultadaos,honestamente esperaba un poco mas de mis practicas sin embargo esto no se debe a la organizacion ya que ellos contaban con practicas presenciales y debido a la pandemia se tuvieron que ajustar a practicas via online de todos modos me encuentro conforme y satisfecho con los resultadaos,positive,"AnalyzerOutput(output=POS, probas={POS: 0.508, NEU: 0.463, NEG: 0.029})"
oxiboo,bien,todo muy bien,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.476, POS: 0.294, NEG: 0.230})"
analisis de productos lacteos consumidos por ninos en edad escolar y sus posibles consecuencias a la salud de acuerdo a sus ingredientes,experiencia distinta dadas circunstancias estan viviendo nivel mundial definitivamente gran aprendizaje dejo haber participado proyecto interno,fue una experiencia distinta dadas las circunstancias que se estan viviendo a nivel mundial pero definitivamente gran aprendizaje el que me dejo haber participado en este proyecto interno ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.923, NEU: 0.071, NEG: 0.006})"
impacto de la propuesta de modificacion a la ley del seguro social referente a la edad minima de retiro y contrapropuesta regulatoria,aprendi muchas cosas buen proyecto,aprendi muchas cosas muy buen proyecto,positive,"AnalyzerOutput(output=POS, probas={POS: 0.943, NEU: 0.052, NEG: 0.004})"
caiinno,increible experiencia equipo trbajo bueno aprendizaje,increible experiencia el equipo de trbajo fue muy bueno mucho aprendizaje ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.951, NEU: 0.042, NEG: 0.006})"
desarrollo de proyectos del departamento de computacion electronica y mecatronica,gusto proyecto practicas,me gusto mucho mi proyecto de practicas ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.670, POS: 0.182, NEG: 0.148})"
seminario permanente sobre el islam,excelente,todo excelente ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.478, POS: 0.319, NEG: 0.203})"
evaluacion de condiciones microclimaticas en vegetacion nativa de encino y modificada pastizal en bosques templados de mexico,servicio becario mas practicas profesionales aprendi aprendi completamente cuenta obtuve resultados esperados proyecto,fue servicio de becario mas que practicas profesionales lo poco que aprendi lo aprendi completamente por mi cuenta y no obtuve los resultados esperados del proyecto,negative,"AnalyzerOutput(output=POS, probas={POS: 0.710, NEU: 0.279, NEG: 0.011})"
figgo app,perfecto ningun comentario,todo perfecto sin ningun comentario ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.604, NEG: 0.276, POS: 0.119})"
universidad autonoma de baja california,unas malas practicas profesionales misma institucion mas modalidad linea,fue unas muy malas practicas profesionales por la misma institucion y mas por la modalidad en linea,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.964, NEU: 0.032, POS: 0.004})"
inmense hotels,buenas practicas pesar sido rapido,muy buenas practicas a pesar de que todo haya sido muy rapido ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.894, NEU: 0.096, NEG: 0.010})"
restaurante son de ,bien organizacion brindaron apoyo siempre necesite asi aprendizaje,todo muy bien con la organizacion me brindaron apoyo siempre que lo necesite asi como aprendizaje en todo ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.966, NEU: 0.030, NEG: 0.004})"
samurai,excelente espacio aprendizaje involucran dejan recibir responsabilidad,excelente espacio de aprendizaje nos involucran mucho y nos dejan recibir responsabilidad ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.919, NEU: 0.072, NEG: 0.009})"
binex line mexico,parecio organizacion excelente sumamente profesional ambito laboral aprendizaje,me parecio una organizacion excelente y sumamente profesional en el ambito laboral y de aprendizaje ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.943, NEU: 0.053, NEG: 0.005})"
fira barcelona,supongo debido pandemia pudo sacar provecho oportunidad practicas daban lamentablemente covid muchas cosas cambiaron dentro proyecto ende funcion haciendo mas dificil participacion aprendizaje,yo supongo que debido a la pandemia no se pudo sacar provecho a la oportunidad que estas practicas daban lamentablemente por el covid muchas cosas cambiaron dentro del proyecto y por ende mi funcion haciendo mucho mas dificil mi participacion y aprendizaje ,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.761, NEU: 0.227, POS: 0.011})"
kreston bsg,organizacion preocupa trabajador busca convivencia agradable siempre apoyo companeros jefe excelente persona ayudado aprender sentirme aceptado recomiendo ampliamente kreston bsg,"una organizacion que se preocupa por el trabajador y busca una convivencia muy agradable siempre se tiene un apoyo de los companeros y mi jefe es una excelente persona la cual me ha ayudado a aprender mucho y sentirme aceptado en todos los sentidos
recomiendo ampliamente kreston bsg",positive,"AnalyzerOutput(output=POS, probas={POS: 0.855, NEU: 0.138, NEG: 0.008})"
faurecia,excelente organizacion trabajar,excelente organizacion para trabajar,positive,"AnalyzerOutput(output=POS, probas={POS: 0.959, NEU: 0.037, NEG: 0.004})"
hackaton audi,excelente,todo excelente,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.478, POS: 0.319, NEG: 0.203})"
design to taste,unica razon pongo excelente tema pandemia sufriendo creo area ayudo aprender diferentes cosas limito practica,la unica razon por la cual no le pongo un excelente en todo es por el tema de la pandemia que estamos sufriendo todos  creo que en mi area nos ayudo a aprender diferentes cosas pero nos limito mucho en la practica ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.802, POS: 0.172, NEG: 0.026})"
impact,creo impact deberia ofrecer practicas area mercadotecnia cuentan conocimiento tal practicas resultaron realizar casi puro trabajo administrativo revisar correos electronicos ordenarlos revisar ortografia redaccion resumir informacion parte aplicada relacionada mercadotecnia minima general tareas encargaron recibia ninguna capacitacion asesoramiento honestamente mas unas practicas parecia trabajo secretaria horarios casi nunca respetados muchas juntas duraban horario acordado acabando encargaban debiamos hacer mismo dia siguiente junta igual manera muchas veces encargaban cosas realizar manera urgente horarios correspondian incluso fin semana trabajo realizado casi siempre horario,"creo que impact no deberia ofrecer practicas en el area de mercadotecnia ya que no cuentan con conocimiento de tal mis practicas resultaron en realizar casi puro trabajo administrativo como revisar correos electronicos ordenarlos revisar ortografia y redaccion y resumir informacion la parte aplicada relacionada con mercadotecnia fue minima 

por lo general en las tareas que se me encargaron no recibia ninguna capacitacion o asesoramiento honestamente mas que unas practicas parecia un trabajo de secretaria los horarios casi nunca fueron respetados ya que muchas de las juntas duraban todo el horario acordado  y acabando estas nos encargaban lo que debiamos hacer para ese mismo dia o el siguiente antes de la junta de igual manera muchas veces nos encargaban cosas para realizar de manera urgente en horarios que no correspondian incluso en fin de semana por lo que el trabajo realizado fue casi siempre fuera de horario ",negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.749, NEG: 0.218, POS: 0.033})"
analisis y mejora de operaciones en un caso de estudio,preguntas oferta trabajo beneficios transporte seleccione opcion debido proyecto interno aplicarian opciones preguntas,para las preguntas de oferta de trabajo y beneficios de transporte seleccione la opcion de no debido a que yo estuve en proyecto interno y no aplicarian estas opciones a estas preguntas,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.061, NEG: 0.025})"
global trainees,excelente organizacion buen ambiente trabajo,una excelente organizacion y muy buen ambiente de trabajo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.962, NEU: 0.035, NEG: 0.003})"
binex line mexico,via online solo duro mes considero parte practicas importante crecimiento profesional caso aprendi seria trabajar realmente,todo fue via online  solo duro un mes y considero que la parte de practicas es muy importante para tu crecimiento profesional  y en mi caso yo no aprendi nada de como seria trabajar realmente ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.794, POS: 0.184, NEG: 0.022})"
aamc internacional,buena organizacion tipo actividades pidieron hacer considero ingeniero mecanico aun practicante calificado,es una buena organizacion pero para el tipo de actividades que me pidieron hacer considero que un ingeniero mecanico aun uno practicante esta sobre calificado,negative,"AnalyzerOutput(output=POS, probas={POS: 0.600, NEU: 0.392, NEG: 0.008})"
agencia de energia del estado de puebla,inicie octubre aun recibido oferta contratacion,"inicie el  de octubre de 
y aun no he recibido oferta de contratacion ",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.898, POS: 0.075, NEG: 0.026})"
desarrollo de proyectos del departamento de computacion electronica y mecatronica,parece proyectos internos universidad buenos deberian ofrecer variedad cada semestre mejorar ofertado,me parece que los proyectos internos de la universidad son buenos y que deberian ofrecer variedad de ellos cada semestre y mejorar los que ya se han ofertado antes ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.700, NEU: 0.276, NEG: 0.025})"
courtyard las animas,buena organizacion aprendes perdiendo perspectiva estudiante aprendiendo,buena organizacion aprendes mucho pero no perdiendo la perspectiva que eres estudiante y estas aprendiendo ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.613, NEU: 0.357, NEG: 0.029})"
desarrollo de la metodologia de la kata de la mejora para solucion de problemas operativos en las practicas profesionales,aprendi trabajo oficinas ser lider equipo,aprendi mucho sobre el trabajo en oficinas y a ser lider de un equipo,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.519, POS: 0.436, NEG: 0.045})"
parkimovil,senti bien dentro organizacion logre desarrollar nuevas habilidades aplique conocimientos teoricos tareas asignadas contento dentro empresa,me senti muy bien dentro de la organizacion logre desarrollar nuevas habilidades y aplique mis conocimientos teoricos para las tareas que me fueron asignadas estoy muy contento dentro de la empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.805, NEU: 0.187, NEG: 0.009})"
construcciones taditlax,ser practicas via online parecio pude hacer unas verdaderas practicas decir aplique conocimientos vida real companeros trabajo horarios igual manera entendio pues tomar medidas normal,al ser practicas via online me parecio que no pude hacer unas verdaderas practicas es decir no aplique mis conocimientos en la vida real con companeros de trabajo horarios entre otras de igual manera se entendio pues se tuvieron que tomar medidas fuera de lo normal,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.788, POS: 0.133, NEG: 0.079})"
diseno de vivienda sostenible con herramientas de bim,buena experiencia practicas profesion aprendi cosas buenas buena organizacion parte persona encargada actividades,fue una buena experiencia de practicas en la profesion aprendi cosas muy buenas y hubo una buena organizacion de parte de la persona encargada de las actividades,positive,"AnalyzerOutput(output=POS, probas={POS: 0.928, NEU: 0.069, NEG: 0.003})"
bh publicidad,excelente organizacion,excelente  organizacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.929, NEU: 0.065, NEG: 0.006})"
puercoespin creativos,falta comunicacion,falta de comunicacion,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.552, NEU: 0.405, POS: 0.044})"
tecam,solo pude comunicarme dia entrevista respondian mensajes llamadas recibi documentos supone debia ir revisando proyecto iba apoyar sigo saber mas,solo pude comunicarme con ellos el dia de mi entrevista y no respondian mis mensajes ni llamadas no recibi los documentos que se supone debia ir revisando para el proyecto en el que los iba apoyar y sigo sin saber nada mas,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.877, NEG: 0.077, POS: 0.046})"
mandolin kombucha,excelente lugar realizar practicas gran equipo,es un excelente lugar para realizar practicas tienen un gran equipo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.972, NEU: 0.025, NEG: 0.003})"
exploracion de estructuras de control en bioreactores,verdadero reto desconozco aun cosas reactores verdad senti preparada desempenar correctamente objetivos proyecto junto tema clases linea ayudo profesor atento comprensivo siento gusto trabajo final tiempo suficiente enferme pude hacer cosas tiempo agradezco apoyo doctor aaron romo dr nelly lic ana maria ayudaron proceso gracias,fue un verdadero reto ya que desconozco aun algunas cosas sobre reactores la verdad no me senti preparada para desempenar correctamente los objetivos del proyecto junto con esto el tema de las clases y que fuera en linea no ayudo el profesor fue muy atento y comprensivo pero no me siento a gusto con el trabajo final ya que no tuve el tiempo suficiente ya que me enferme y no pude hacer las cosas en tiempo agradezco todo el apoyo del doctor aaron romo la dr nelly y la lic ana maria quienes me ayudaron en el proceso gracias,positive,"AnalyzerOutput(output=POS, probas={POS: 0.678, NEU: 0.310, NEG: 0.012})"
food innovators,excelente desafortunadamente pude realizar muchas actividades,todo estuve excelente pero desafortunadamente no pude realizar muchas actividades,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.693, NEU: 0.276, POS: 0.031})"
terra peninsular,agrado realizar practicas organizacion disfrute,me agrado mucho realizar mis practicas con esta organizacion lo disfrute mucho ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.606, NEU: 0.382, NEG: 0.012})"
indice de impunidad estados unidos,realizo relevante sienta relevancia practicas,no se realizo nada relevante o que sienta que fuera de relevancia en las practicas ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.743, POS: 0.211, NEG: 0.047})"
centro de especializacion y atencion psicologica,ninguna bien,ninguna todo bien ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.487, NEG: 0.292, POS: 0.221})"
instituto poblano de asistencia al migrante,sabia esperar unas practicas linea satisfecho resultado,no sabia que esperar de unas practicas en linea pero estoy satisfecho con el resultado,positive,"AnalyzerOutput(output=POS, probas={POS: 0.660, NEU: 0.321, NEG: 0.018})"
iknal muuk,beneficios remuneracion aplico hice linea costos pasaje transporte comentaban practicantes si daban buena empresa aun pensando aceptar trabajo pd primer apellido vazquez tapia,"los beneficios y remuneracion no aplico ya que las hice en linea y sobre los costos del pasaje y transporte me comentaban otros practicantes que si se los daban buena empresa y aun estoy pensando en aceptar el trabajo 
pd mi primer apellido no es vazquez es tapia",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.881, POS: 0.091, NEG: 0.027})"
egate,organizacion ambiente laboral agradable ademas ofrece perspectiva pueden aplicar campos conocimiento licenciatura,la organizacion tiene un ambiente laboral agradable ademas de que ofrece una perspectiva en la que se pueden aplicar los campos de conocimiento de la licenciatura ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.571, NEU: 0.415, NEG: 0.014})"
tecam group,creo experiencia sido mejor presencial situacion falta comunicacion dificil entender hacer trabajo linea,creo que la experiencia hubiera sido mucho mejor presencial pero por la situacion hubo falta de comunicacion y fue dificil entender y hacer el trabajo en linea ,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.620, NEU: 0.359, POS: 0.021})"
accurate media,considero ver carrera relaciones internacionales mas bien pusieron area indicada ademas prosiguieron proyecto pusieron inicio excusa pandemia podia seguir proyecto,considero que no tiene nada que ver con la carrera de relaciones internacionales o mas bien no me pusieron en el area indicada ademas no prosiguieron con el proyecto que me pusieron al inicio con la excusa de que por la pandemia no se podia seguir en ese proyecto ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.801, POS: 0.142, NEG: 0.058})"
instituto damicis,nombre maria victoria lacadiere galdeano maria victoria ramirez galdeano,"mi nombre no es
maria victoria lacadiere galdeano
es 
maria victoria ramirez galdeano ",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.744, POS: 0.187, NEG: 0.068})"
grupo expande asesores corporativos y legales,nombre mal jose murillo spinoso,mi nombre esta mal es jose murillo spinoso,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.753, NEU: 0.227, POS: 0.020})"
accurate media,ninguno satisfecha practicas,ninguno estoy satisfecha con mis practicas,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.663, POS: 0.252, NEG: 0.085})"
design to taste,orden organizacion siempre atentos pendiente mensajes correos enviaba resolver dudas respecto tareas tenia entregar,todo en orden con la organizacion siempre fueron muy atentos y estaban al pendiente de los mensajes y correos que les enviaba para resolver mis dudas respecto a las tareas que tenia que entregar,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.866, POS: 0.083, NEG: 0.052})"
beetman energy,apoyo parte alberto lopez estupendo siempre proceso muchas gracias,el apoyo por parte de alberto lopez es estupendo siempre estuvo al tanto de mi proceso muchas gracias,positive,"AnalyzerOutput(output=POS, probas={POS: 0.956, NEU: 0.038, NEG: 0.006})"
diseno de un aerogenerador de tamano compacto con alta eficiencia de conversion energetica,organizacion proyecto interno verdad gustaria segundas practicas asi llevado dos materias necesarias buen desarrollo proyecto energia eolica solar maquinas electricas bastante complicado,"no fue organizacion fue un proyecto interno y la verdad no me gustaria que mis segundas practicas fueran asi
no he llevado dos materias necesarias para el buen desarrollo de este proyecto energia eolica y solar y maquinas electricas y me fue bastante complicado",neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.836, NEG: 0.096, POS: 0.067})"
proyecto cyted  ,experiencia increible pesar ser linea profesores gran ayuda brindaron conocimiento unico,fue una experiencia increible a pesar de ser en linea los profesores fueron de gran ayuda y me brindaron un conocimiento unico ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.968, NEU: 0.025, NEG: 0.007})"
urbana promonet,verdad gusto toco senti relacionado carrera senti pudiera ayudar saber seria trabajar mercadotecnia pense daria experiencia creo hace falta mas organizacion comunicacion,la verdad no me gusto nada lo que me toco no senti que estuviera relacionado a mi carrera no senti que me pudiera ayudar a saber como seria trabajar en mercadotecnia pense que me daria esa experiencia y creo que hace falta mas organizacion y comunicacion entre todos ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.514, POS: 0.462, NEG: 0.024})"
hotel ivissa,siento super satisfecha dia culminar horas practicas dentro organizacion siempre trataron respeto valoraron ideas aprendi hacer tipo actividades necesitaban apoyo siempre disposicion aprender mas,me siento super satisfecha de estar a un dia de culminar mis horas de practicas dentro de esta organizacion siempre me trataron con respeto y valoraron mis ideas aprendi a hacer otro tipo de actividades cuando necesitaban mi apoyo porque siempre estuve a disposicion de aprender mas,positive,"AnalyzerOutput(output=POS, probas={POS: 0.919, NEU: 0.075, NEG: 0.006})"
siete proyectos de arquitectura,bueno proyecto doctor nicolas buen totor platicas apoyo dudas hora realizar proyecto lastima pudo ser presencial incluso mas practico aprender mas,fue muy bueno el proyecto y el doctor nicolas fue muy buen totor de platicas y me apoyo mucho con mis dudas y a la hora de realizar mi proyecto lastima que no pudo ser presencial o incluso mas practico para aprender un poco mas,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.692, POS: 0.255, NEG: 0.053})"
frame lawyers global firm,excelente organizacion realizar practicas aprendes conscientes estudiante flexibles asimismo enfocan aprendas,excelente organizacion para realizar tus practicas aprendes mucho sobre todo son muy conscientes que eres estudiante y son muy flexibles asimismo se enfocan mucho en que aprendas ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.891, NEU: 0.100, NEG: 0.009})"
sabormex,experiencia hizo desarrollar muchas nuevas habilidades,fue una experiencia que me hizo desarrollar muchas nuevas habilidades,positive,"AnalyzerOutput(output=POS, probas={POS: 0.945, NEU: 0.051, NEG: 0.004})"
almadia editorial,pandemia arruino elegi mal organizacion,la pandemia lo arruino todo y yo elegi mal mi organizacion,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.956, NEU: 0.036, POS: 0.008})"
do concurso iberoamericano de derecho internacional humanitario,ninguna,ninguna,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.327, POS: 0.175})"
loreal,loreal gran lugar hacer practicas aprendido conocido muchas conexiones podrian ayudarme futuro,loreal es un gran lugar para hacer las practicas he aprendido mucho y he conocido muchas conexiones que podrian ayudarme en el futuro,positive,"AnalyzerOutput(output=POS, probas={POS: 0.859, NEU: 0.136, NEG: 0.005})"
siemens healthineers  innovation think tank,experiencia realmente buena embargo tiempos proyectos cancelarse debido covid realmente agradecida siemens itt,fue una experiencia realmente buena sin embargo hubo tiempos donde los proyectos tuvieron que cancelarse debido al covid realmente agradecida con siemens y itt ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.955, NEU: 0.039, NEG: 0.005})"
robba da matti restaurante italiano,gustaria seguir trabajando restaurante ambiente trabajamos multicultural rotacion diferentes areas trabajo permiten aprender profundidad necesario front back negocio alimentos bebidas,me gustaria seguir trabajando en este restaurante ya que el ambiente en el que trabajamos es multicultural y la rotacion en las diferentes areas de trabajo me permiten aprender a profundidad sobre los necesario en el front y back de un negocio de alimentos y bebidas,positive,"AnalyzerOutput(output=POS, probas={POS: 0.700, NEU: 0.286, NEG: 0.014})"
vibras food,acepte oferta seria remunerada,no acepte la oferta por que seria no remunerada,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.064, NEG: 0.032})"
oxyboo inc,buena organizacion aprendi cosas solo area sino areas importantes mejorar habilidades comunicacion presentacion etc,muy buena organizacion en la que aprendi cosas no solo de mi area sino en otras areas que son importantes para mejorar mis habilidades como la comunicacion presentacion  etc,positive,"AnalyzerOutput(output=POS, probas={POS: 0.773, NEU: 0.218, NEG: 0.009})"
inversiones cuantico,excelente organizacion siempre dudas comentarios recomiendo,excelente organizacion siempre al tanto de mis dudas y comentarios la recomiendo mucho,positive,"AnalyzerOutput(output=POS, probas={POS: 0.955, NEU: 0.041, NEG: 0.003})"
endeavor mexico cdmx,buena experiencia,muy buena experiencia,positive,"AnalyzerOutput(output=POS, probas={POS: 0.526, NEU: 0.400, NEG: 0.074})"
accurate media,creo ver actuaria,no creo que tenga que ver mucho con actuaria,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.716, POS: 0.211, NEG: 0.073})"
endeavor mexico cdmx,considero practicas profesionales enriquecedoras embargo pienso hecho sido via remota hicieron mas lento proceso aprendizaje,considero que mis practicas profesionales fueron enriquecedoras sin embargo pienso que el hecho de que hayan sido via remota hicieron mas lento el proceso de aprendizaje ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.536, NEG: 0.387, POS: 0.077})"
slow food,comunicacion maneja organizacion buena ausentes aunque trabajo,la comunicacion que maneja la organizacion no es del todo buena son un poco ausentes aunque el trabajo esta ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.544, NEG: 0.424, POS: 0.032})"
anjor sa de cv,organizacion brindo beneficios mencionados virtualmente aplica pregunta,la organizacion no me brindo los beneficios mencionados porque todo fue virtualmente no aplica la pregunta,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.849, POS: 0.128, NEG: 0.023})"
